DataStructure,SampleSize,EnqueueTime,PtTime,DequeueTime
OrderedLinkedListRQ,20000,1.217527852,5.447160094,0.051077084
OrderedLinkedListRQ,20000,1.255778133,5.585630827,0.04747938
OrderedLinkedListRQ,20000,1.256252267,5.596994402,0.051345434
OrderedLinkedListRQ,20000,1.255117843,5.600478002,0.047874862
OrderedLinkedListRQ,20000,1.25779007,5.608335132,0.050647439
OrderedLinkedListRQ,20000,1.214124723,5.419315385,0.046736789
OrderedLinkedListRQ,20000,1.212052374,5.450549867,0.052162095
OrderedLinkedListRQ,20000,1.255764639,5.54270019,0.051658815
OrderedLinkedListRQ,20000,1.219672194,5.585185898,0.049171182
OrderedLinkedListRQ,20000,1.218100009,5.445171241,0.047090967
OrderedLinkedListRQ,30000,2.925423806,12.723207853,0.071010756
OrderedLinkedListRQ,30000,2.944774257,12.813742886,0.066981552
OrderedLinkedListRQ,30000,2.919657959,12.743911886,0.063787405
OrderedLinkedListRQ,30000,2.92069467,12.718549133,0.067077897
OrderedLinkedListRQ,30000,2.929259614,12.819491764,0.068385018
OrderedLinkedListRQ,30000,2.8360066,12.291862926,0.072111909
OrderedLinkedListRQ,30000,2.816148685,12.330802105,0.066337531
OrderedLinkedListRQ,30000,2.928652736,12.711295077,0.065812717
OrderedLinkedListRQ,30000,2.832835487,12.351531555,0.065621817
OrderedLinkedListRQ,30000,2.927360546,12.808844867,0.066547409
OrderedLinkedListRQ,50000,8.274154081,34.31346355,0.103106139
OrderedLinkedListRQ,50000,8.280595742,34.370743837,0.106548887
OrderedLinkedListRQ,50000,7.939279424,32.853758499,0.108210512
OrderedLinkedListRQ,50000,8.310459243,33.397926024,0.115197962
OrderedLinkedListRQ,50000,8.289064813,34.435469672,0.110826441
OrderedLinkedListRQ,50000,8.34568212,34.259076163,0.108399888
OrderedLinkedListRQ,50000,7.969724494,32.93480263,0.109119118
OrderedLinkedListRQ,50000,8.047692375,34.068816381,0.105675083
OrderedLinkedListRQ,50000,8.315870771,34.399928477,0.102548353
OrderedLinkedListRQ,50000,8.310856392,34.267525221,0.099047756
BinarySearchTreeRQ,100,0.007920688,0.004176319,0.002168706
BinarySearchTreeRQ,100,0.003390487,0.00421327,0.0023005
BinarySearchTreeRQ,100,0.003169258,0.004037797,0.002466636
BinarySearchTreeRQ,100,0.003311595,0.004071949,0.00248978
BinarySearchTreeRQ,100,0.003328806,0.004097754,0.002354891
BinarySearchTreeRQ,100,0.003250429,0.004076088,0.002282387
BinarySearchTreeRQ,100,0.003428743,0.004131603,0.002288296
BinarySearchTreeRQ,100,0.0034061,0.004146597,0.002176847
BinarySearchTreeRQ,100,0.003262567,0.004125669,0.002351899
BinarySearchTreeRQ,100,0.003452604,0.004196314,0.002213739
BinarySearchTreeRQ,200,0.004956277,0.007953163,0.002629575
BinarySearchTreeRQ,200,0.004855673,0.008021223,0.002746153
BinarySearchTreeRQ,200,0.005860611,0.009551626,0.002787734
BinarySearchTreeRQ,200,0.005235183,0.008103958,0.002612005
BinarySearchTreeRQ,200,0.00476326,0.008138678,0.00272373
BinarySearchTreeRQ,200,0.005017141,0.007502941,0.00318746
BinarySearchTreeRQ,200,0.004890956,0.007786822,0.002801036
BinarySearchTreeRQ,200,0.004863294,0.00791889,0.002599926
BinarySearchTreeRQ,200,0.005043703,0.007904774,0.002643634
BinarySearchTreeRQ,200,0.004997194,0.007879734,0.002708842
BinarySearchTreeRQ,500,0.00886457,0.015136579,0.003796884
