DataStructure,Operation,Iteration,Block,Time
Array,Dequeue,2,33,0.051740405
Array,Dequeue,3,33,0.051687227
Array,Dequeue,4,33,0.050142064
Array,Dequeue,5,33,0.049781521
Array,Dequeue,6,33,0.050393684
Array,Dequeue,7,33,0.050080893
Array,Dequeue,8,33,0.065363958
Array,Dequeue,9,33,0.049330581
Array,Dequeue,10,33,0.052056818
Array,Dequeue,1,34,0.051529936
Array,Dequeue,2,34,0.051377285
Array,Dequeue,3,34,0.051936836
Array,Dequeue,4,34,0.053203845
Array,Dequeue,5,34,0.053005436
Array,Dequeue,6,34,0.053021714
Array,Dequeue,7,34,0.051409278
Array,Dequeue,8,34,0.0686293
Array,Dequeue,9,34,0.051045078
Array,Dequeue,10,34,0.052214499
Array,Dequeue,1,35,0.053522701
Array,Dequeue,2,35,0.052678772
Array,Dequeue,3,35,0.053356361
Array,Dequeue,4,35,0.053421278
Array,Dequeue,5,35,0.052934155
Array,Dequeue,6,35,0.053476895
Array,Dequeue,7,35,0.053074535
Array,Dequeue,8,35,0.068709231
Array,Dequeue,9,35,0.052187431
Array,Dequeue,10,35,0.053866007
Array,Dequeue,1,36,0.054458635
Array,Dequeue,2,36,0.055734609
Array,Dequeue,3,36,0.054713929
Array,Dequeue,4,36,0.054346064
Array,Dequeue,5,36,0.054874532
Array,Dequeue,6,36,0.053511524
Array,Dequeue,7,36,0.056307352
Array,Dequeue,8,36,0.070058692
Array,Dequeue,9,36,0.055141259
Array,Dequeue,10,36,0.05656188
Array,Dequeue,1,37,0.058319711
Array,Dequeue,2,37,0.05512248
Array,Dequeue,3,37,0.057592475
Array,Dequeue,4,37,0.0576433
Array,Dequeue,5,37,0.057627169
Array,Dequeue,6,37,0.057430052
Array,Dequeue,7,37,0.056525372
Array,Dequeue,8,37,0.072540654
Array,Dequeue,9,37,0.05371467
Array,Dequeue,10,37,0.056451393
Array,Dequeue,1,38,0.057760058
Array,Dequeue,2,38,0.056522935
Array,Dequeue,3,38,0.058073277
Array,Dequeue,4,38,0.057043309
Array,Dequeue,5,38,0.057736995
Array,Dequeue,6,38,0.055920605
Array,Dequeue,7,38,0.058515642
Array,Dequeue,8,38,0.07275795
Array,Dequeue,9,38,0.055625335
Array,Dequeue,10,38,0.05732437
Array,Dequeue,1,39,0.05973664
Array,Dequeue,2,39,0.05948091
Array,Dequeue,3,39,0.059656703
Array,Dequeue,4,39,0.058500207
Array,Dequeue,5,39,0.059393761
Array,Dequeue,6,39,0.059876731
Array,Dequeue,7,39,0.060691324
Array,Dequeue,8,39,0.076994541
Array,Dequeue,9,39,0.057042104
Array,Dequeue,10,39,0.060589811
Array,Dequeue,1,40,0.062476748
Array,Dequeue,2,40,0.060295636
Array,Dequeue,3,40,0.06283938
Array,Dequeue,4,40,0.060732375
Array,Dequeue,5,40,0.061637587
Array,Dequeue,6,40,0.059411354
Array,Dequeue,7,40,0.062966385
Array,Dequeue,8,40,0.070274059
Array,Dequeue,9,40,0.05720319
Array,Dequeue,10,40,0.059534388
Array,Dequeue,1,41,0.062177698
Array,Dequeue,2,41,0.060967224
Array,Dequeue,3,41,0.062351018
Array,Dequeue,4,41,0.061607093
Array,Dequeue,5,41,0.061825946
Array,Dequeue,6,41,0.061102965
Array,Dequeue,7,41,0.062379298
Array,Dequeue,8,41,0.074754961
Array,Dequeue,9,41,0.060905472
Array,Dequeue,10,41,0.061770567
Array,Dequeue,1,42,0.064258904
Array,Dequeue,2,42,0.064038936
Array,Dequeue,3,42,0.064031217
Array,Dequeue,4,42,0.062131465
Array,Dequeue,5,42,0.063082163
Array,Dequeue,6,42,0.064343912
Array,Dequeue,7,42,0.063994844
Array,Dequeue,8,42,0.07069499
Array,Dequeue,9,42,0.06086137
Array,Dequeue,10,42,0.064273668
Array,Dequeue,1,43,0.065124114
Array,Dequeue,2,43,0.063626832
Array,Dequeue,3,43,0.067197347
Array,Dequeue,4,43,0.066317381
Array,Dequeue,5,43,0.064551723
Array,Dequeue,6,43,0.064255509
Array,Dequeue,7,43,0.067145903
Array,Dequeue,8,43,0.073368769
Array,Dequeue,9,43,0.058920547
Array,Dequeue,10,43,0.064773805
Array,Dequeue,1,44,0.068826163
Array,Dequeue,2,44,0.064138079
Array,Dequeue,3,44,0.066776526
Array,Dequeue,4,44,0.062740374
Array,Dequeue,5,44,0.06574915
Array,Dequeue,6,44,0.066479198
Array,Dequeue,7,44,0.067523843
Array,Dequeue,8,44,0.073386136
Array,Dequeue,9,44,0.064248681
Array,Dequeue,10,44,0.064152669
Array,Dequeue,1,45,0.068228717
Array,Dequeue,2,45,0.069369319
Array,Dequeue,3,45,0.067330987
Array,Dequeue,4,45,0.065342279
Array,Dequeue,5,45,0.066641751
Array,Dequeue,6,45,0.068321307
Array,Dequeue,7,45,0.067305701
Array,Dequeue,8,45,0.075196637
Array,Dequeue,9,45,0.064588095
Array,Dequeue,10,45,0.06983329
Array,Dequeue,1,46,0.069549403
Array,Dequeue,2,46,0.06623365
Array,Dequeue,3,46,0.071843783
Array,Dequeue,4,46,0.070439616
Array,Dequeue,5,46,0.070647418
Array,Dequeue,6,46,0.066910939
Array,Dequeue,7,46,0.071861981
Array,Dequeue,8,46,0.084203127
Array,Dequeue,9,46,0.063855627
Array,Dequeue,10,46,0.067253082
Array,Dequeue,1,47,0.071545066
Array,Dequeue,2,47,0.069391704
Array,Dequeue,3,47,0.070271771
Array,Dequeue,4,47,0.069878972
Array,Dequeue,5,47,0.070114503
Array,Dequeue,6,47,0.0697847
Array,Dequeue,7,47,0.067622491
Array,Dequeue,8,47,0.082185675
Array,Dequeue,9,47,0.068028214
Array,Dequeue,10,47,0.066004457
Array,Dequeue,1,48,0.07451429
Array,Dequeue,2,48,0.069394949
Array,Dequeue,3,48,0.072458179
Array,Dequeue,4,48,0.073036881
Array,Dequeue,5,48,0.073343274
Array,Dequeue,6,48,0.068888949
Array,Dequeue,7,48,0.071236
Array,Dequeue,8,48,0.078158286
Array,Dequeue,9,48,0.071339102
Array,Dequeue,10,48,0.071556054
Array,Dequeue,1,49,0.074885699
Array,Dequeue,2,49,0.072620511
Array,Dequeue,3,49,0.076461728
Array,Dequeue,4,49,0.068039987
Array,Dequeue,5,49,0.068599124
Array,Dequeue,6,49,0.07319894
Array,Dequeue,7,49,0.070712575
Array,Dequeue,8,49,0.088891732
Array,Dequeue,9,49,0.072730799
Array,Dequeue,10,49,0.070731349
Array,Dequeue,1,50,0.07688168
Array,Dequeue,2,50,0.074726369
Array,Dequeue,3,50,0.075486052
Array,Dequeue,4,50,0.072836608
Array,Dequeue,5,50,0.070950395
Array,Dequeue,6,50,0.073758549
Array,Dequeue,7,50,0.071390292
Array,Dequeue,8,50,0.091998454
Array,Dequeue,9,50,0.071760442
Array,Dequeue,10,50,0.077704242
Array,Dequeue,1,51,0.080568196
Array,Dequeue,2,51,0.074209579
Array,Dequeue,3,51,0.076682516
Array,Dequeue,4,51,0.07356089
Array,Dequeue,5,51,0.073596979
Array,Dequeue,6,51,0.074046405
Array,Dequeue,7,51,0.075199843
Array,Dequeue,8,51,0.089730836
Array,Dequeue,9,51,0.074543205
Array,Dequeue,10,51,0.076498704
Array,Dequeue,1,52,0.078537209
Array,Dequeue,2,52,0.077773128
Array,Dequeue,3,52,0.079363102
Array,Dequeue,4,52,0.078629846
Array,Dequeue,5,52,0.075999754
Array,Dequeue,6,52,0.077444633
Array,Dequeue,7,52,0.073088705
Array,Dequeue,8,52,0.084956578
Array,Dequeue,9,52,0.072999493
Array,Dequeue,10,52,0.079075764
Array,Dequeue,1,53,0.080563372
Array,Dequeue,2,53,0.077663266
